variable,display_name,group,analysis_level,definition,formula,numerator,denominator,unit,token_rule,sentence_rule,method,preprocessing,missing_rule,zero_rule,conditional_sample,source_columns,source_dataset,source_scripts,validation_rule,interpretation,limitation,aliases
company_id,기업 안정 식별자,Identification,Firm-year identifier,CIK 기반으로 연도별 firm-year를 연결하는 안정 기업 식별자이다. 회사명과 ticker가 변해도 패널 결합의 우선 키로 사용한다.,company_id = stable identifier assigned from CIK,Not applicable,Not applicable,String identifier,Not applicable,Not applicable,SEC CIK identity mapping,String-preserved; no numeric arithmetic,"Missing identifier is a quality failure, not zero.",Not applicable,All firm-year observations,company_id,panel_2020_2025/firm_year_language_extended.csv,scripts/build_2020_2025_language_panel.py,company_id + report_year duplicate count = 0,Longitudinal firm key.,Corporate succession or legal issuer changes may require manual identity review.,
source_company_id,Source Company Id,Source / Derived,Firm-year,source_company_id is retained from the validated extended panel without remeasurement.,source_company_id = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,source_company_id,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
sample_order,Sample Order,Source / Derived,Firm-year,sample_order is retained from the validated extended panel without remeasurement.,sample_order = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,sample_order,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
batch_id,Batch Id,Source / Derived,Firm-year,batch_id is retained from the validated extended panel without remeasurement.,batch_id = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,batch_id,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_date,Report Date,Source / Derived,Firm-year,report_date is retained from the validated extended panel without remeasurement.,report_date = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_date,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
form,Form,Source / Derived,Firm-year,form is retained from the validated extended panel without remeasurement.,form = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,form,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
r2_object_key,R2 Object Key,Source / Derived,Firm-year,r2_object_key is retained from the validated extended panel without remeasurement.,r2_object_key = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,r2_object_key,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
cik,Cik,Source / Derived,Firm-year,cik is retained from the validated extended panel without remeasurement.,cik = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,cik,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ticker,Ticker,Source / Derived,Firm-year,ticker is retained from the validated extended panel without remeasurement.,ticker = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ticker,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
company_name,Company Name,Source / Derived,Firm-year,company_name is retained from the validated extended panel without remeasurement.,company_name = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,company_name,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
accession_number,Accession Number,Source / Derived,Firm-year,accession_number is retained from the validated extended panel without remeasurement.,accession_number = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,accession_number,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_year,보고연도,Identification,Firm-year identifier,10-K의 reportDate 연도이며 filing year와 구분되는 연구 시간축이다.,report_year = year(report_date),Not applicable,Not applicable,Calendar year,Not applicable,Not applicable,SEC filing metadata,Integer cast after date validation,Missing report year is invalid.,Zero is invalid.,All firm-year observations,report_year,panel_2020_2025/firm_year_language_extended.csv,scripts/build_2020_2025_language_panel.py,Values must be in 2020–2025.,Research year.,It is not necessarily the SEC filing submission year.,
filing_date,Filing Date,Source / Derived,Firm-year,filing_date is retained from the validated extended panel without remeasurement.,filing_date = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,filing_date,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
parser_version,Parser Version,Source / Derived,Firm-year,parser_version is retained from the validated extended panel without remeasurement.,parser_version = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,parser_version,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
language_measurement_version,Language Measurement Version,Source / Derived,Firm-year,language_measurement_version is retained from the validated extended panel without remeasurement.,language_measurement_version = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,language_measurement_version,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_disclosure_binary,Ai Disclosure Binary,Source / Derived,Firm-year,ai_disclosure_binary is retained from the validated extended panel without remeasurement.,ai_disclosure_binary = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_disclosure_binary,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_term_count,Ai Term Count,Source / Derived,Firm-year,ai_term_count is retained from the validated extended panel without remeasurement.,ai_term_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_term_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_terms_per_1000_words,Ai Terms Per 1000 Words,Source / Derived,Firm-year,ai_terms_per_1000_words is retained from the validated extended panel without remeasurement.,ai_terms_per_1000_words = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_terms_per_1000_words,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
total_analysis_word_count,Total Analysis Word Count,Source / Derived,Firm-year,total_analysis_word_count is retained from the validated extended panel without remeasurement.,total_analysis_word_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,total_analysis_word_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
total_analysis_sentence_count,Total Analysis Sentence Count,Source / Derived,Firm-year,total_analysis_sentence_count is retained from the validated extended panel without remeasurement.,total_analysis_sentence_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,total_analysis_sentence_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
